"타임스탬프","일주일 기준, 커피 소비 횟수","커피 구매 시간","커피 소비의 목적","본인이 생각하는 아메리카노 적정 가격 대","카페 방문 시, 중요하게 생각하는 요인 [맛]","카페 방문 시, 중요하게 생각하는 요인 [가격]","카페 방문 시, 중요하게 생각하는 요인 [브랜드]","카페 방문 시, 중요하게 생각하는 요인 [분위기]","카페 방문 시, 중요하게 생각하는 요인 [메뉴의 다양성]","커피 주문시 요구 사항","미각 추구 [음식 맛의 차이를 민감하게 느끼는 편이다.]","미각 추구 [음식은 가격이나 양보다 맛이 중요하다.]","미각 추구 [다른 부분에 비해 음식에 돈을 더 소비하는 편이다.]","미각 추구 [새로운 맛에 도전해보는 것을 좋아한다.]","미각 추구 [유명 맛집을 찾아다니는 편이다.]","경제성 추구 [물건 구매 시 가격 비교를 꼼꼼하게 하는 편이다.]","경제성 추구 [쿠폰 및 마일리지 적립 등을 챙기는 편이다.]","경제성 추구 [물건 구매 시 품질보다 가격을 더 중시한다.]","경제성 추구 [평소 스스로 돈관리를 철저히 하는 편이다.]","경제성 추구 [소비보다는 저축을 하려는 편이다.]","건강 추구 [건강을 위해 음식을 가려 먹는 편이다.]","건강 추구 [규칙적인 운동을 하는 편이다.]","건강 추구 [새벽시간 까지 주로 깨어있지 않는 편이다.]","건강 추구 [비타민, 한약 등 건강 보조 식품을 챙겨 먹는다.]","문화생활 추구 [나만의 취미를 가지려고 하는 편이다.]","문화생활 추구 [영화나 연극, 전시회 등을 즐기는 편이다.]","문화생활 추구 [방학이나 휴가 때는 해외 여행을 즐기는 편이다.]","문화생활 추구 [학업이나 일 등의 스트레스를 풀기위한 나만의 돌출구가 있다.]","사회성 추구 [타인과 원만한 교류를 하는 편이다.]","사회성 추구 [새로운 사람들과의 만남을 좋아하는 편이다.]","사회성 추구 [주변 사람들과 모임을 갖는 것을 좋아하는 편이다.]","사회성 추구 [어느 집단에서든 잘 적응하는 편이다.]","사회성 추구 [혼자만의 시간보다 다른 사람과 함께 보내는 시간이 더 즐겁다.]","유행 추구 [다른 사람들의 시선을 신경쓰는 편인다.]","유행 추구 [SNS를 즐겨하는 편이다.]","유행 추구 [트렌드에 민감한 편이다.]","유행 추구 [유행하는 브랜드를 선호하는 편이다.]","유행 추구 [핫한 아이템이 있으면 꼭 필요한 물건이 아니더라도 일단 무조건 사야한다.]","성별","연령","교육수준","거주형태","직업","월평균 소득 ","월평균소득","한달 평균 외식비","","","","","","","","","","","","",""
"2018/06/01 2:23:09 오후 GMT+9","1~3번","오전11시~오후 14시","졸음 방지","2000원 이상~3000원 미만","3점","4점","3점","3점","3점","없음","그렇지 않다","보통이다","그렇다","보통이다","그렇다","보통이다","보통이다","그렇지 않다","보통이다","보통이다","보통이다","보통이다","보통이다","그렇지 않다","보통이다","보통이다","그렇지 않다","보통이다","그렇다","보통이다","보통이다","그렇다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","남","27세~29세","4년제 대학교 재학","가족과 생활","학생","30만원 이상~50만원 미만","","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:26:52 오후 GMT+9","4~6번","오전11시~오후 14시","습관적 구매;졸음 방지","2000원 미만","2점","2점","2점","2점","2점","없음","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","보통이다","그렇지 않다","보통이다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","남","27세~29세","4년제 대학교 재학","가족과 생활","학생","110만원 이상","","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:26:54 오후 GMT+9","1~3번","오전11시~오후 14시","친구들과의 만남;졸음 방지","2000원 이상~3000원 미만","4점","3점","2점","4점","3점","없음","보통이다","보통이다","그렇다","그렇다","보통이다","보통이다","보통이다","그렇지 않다","그렇다","보통이다","보통이다","그렇다","보통이다","그렇지 않다","그렇다","보통이다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇다","보통이다","보통이다","그렇지 않다","보통이다","보통이다","그렇지 않다","남","23세~26세","4년제 대학교 재학","가족과 생활","학생","50만원 이상~70만원 미만","","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:27:33 오후 GMT+9","1~3번","오전 8시~11시;오전11시~오후 14시","친구들과의 만남;졸음 방지;맛이 좋아서","2000원 미만","2점","5점","2점","2점","3점","없음","보통이다","그렇지 않다","그렇지 않다","매우 그렇다","그렇지 않다","매우 그렇다","그렇지 않다","보통이다","그렇다","그렇다","그렇다","그렇지 않다","매우 그렇지 않다","그렇다","보통이다","그렇다","매우 그렇지 않다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇다","보통이다","매우 그렇지 않다","그렇지 않다","매우 그렇지 않다","그렇지 않다","남","27세~29세","4년제 대학교 재학","자취","학생","30만원 미만","","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:30:39 오후 GMT+9","10~12번","오전11시~오후 14시;오후17시~20시","졸음 방지;맛이 좋아서","2000원 미만","3점","3점","2점","4점","2점","설탕 및 시럽 추가","보통이다","보통이다","보통이다","그렇다","보통이다","보통이다","보통이다","보통이다","그렇지 않다","그렇지 않다","그렇다","그렇다","매우 그렇지 않다","그렇지 않다","그렇다","그렇다","그렇지 않다","보통이다","그렇지 않다","보통이다","보통이다","그렇지 않다","그렇지 않다","그렇다","그렇다","그렇다","그렇지 않다","그렇지 않다","남","27세~29세","4년재 대학교 졸업","가족과 생활","기타","50만원 이상~70만원 미만","","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:34:11 오후 GMT+9","4~6번","오전 8시~11시;오후 14시~17시","습관적 구매","3000원 이상~4000원 미만","5점","3점","2점","1점","1점","없음","보통이다","그렇다","매우 그렇다","그렇지 않다","매우 그렇지 않다","그렇다","매우 그렇다","그렇다","그렇다","그렇다","보통이다","그렇다","그렇다","매우 그렇다","그렇다","그렇다","매우 그렇다","보통이다","그렇다","그렇다","그렇다","그렇다","보통이다","그렇다","보통이다","보통이다","그렇지 않다","매우 그렇지 않다","여","27세~29세","4년재 대학교 졸업","가족과 생활","사무직","","200만원 이상~300만원 미만","30만원 이상~40만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:35:09 오후 GMT+9","13번 이상","오전 8시~11시;오후 14시~17시","졸음 방지","2000원 미만","5점","5점","3점","4점","2점","없음","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","매우 그렇지 않다","그렇다","그렇다","보통이다","그렇다","매우 그렇다","보통이다","그렇지 않다","그렇다","그렇다","그렇다","매우 그렇지 않다","매우 그렇지 않다","보통이다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","그렇지 않다","매우 그렇지 않다","보통이다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","남","27세~29세","4년제 대학교 재학","가족과 생활","학생","30만원 이상~50만원 미만","","10만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:36:03 오후 GMT+9","13번 이상","오전11시~오후 14시","습관적 구매;친구들과의 만남;졸음 방지;맛이 좋아서","2000원 이상~3000원 미만","5점","4점","4점","4점","3점","없음","그렇다","그렇다","그렇지 않다","그렇지 않다","그렇다","그렇다","매우 그렇다","그렇다","그렇다","그렇지 않다","보통이다","그렇다","매우 그렇다","그렇지 않다","그렇다","그렇다","그렇다","그렇다","매우 그렇다","그렇다","그렇다","그렇다","그렇다","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","매우 그렇지 않다","여","23세~26세","4년재 대학교 졸업","자취","사무직","","100만원 이상~200만원 미만","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:37:36 오후 GMT+9","4~6번","오전11시~오후 14시","습관적 구매;친구들과의 만남;맛이 좋아서","2000원 이상~3000원 미만","5점","5점","4점","3점","3점","없음","그렇다","매우 그렇다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","보통이다","그렇다","그렇다","그렇지 않다","보통이다","그렇다","그렇다","그렇다","그렇다","그렇다","보통이다","매우 그렇지 않다","그렇지 않다","보통이다","매우 그렇지 않다","여","27세~29세","4년재 대학교 졸업","가족과 생활","기타","30만원 이상~50만원 미만","","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:39:59 오후 GMT+9","4~6번","오전 8시~11시;오전11시~오후 14시","습관적 구매;친구들과의 만남;졸음 방지;맛이 좋아서","2000원 미만","4점","5점","2점","4점","2점","없음","그렇지 않다","보통이다","그렇지 않다","매우 그렇지 않다","보통이다","그렇다","매우 그렇다","보통이다","보통이다","그렇지 않다","그렇지 않다","매우 그렇지 않다","그렇다","그렇다","그렇지 않다","보통이다","보통이다","그렇지 않다","보통이다","그렇지 않다","보통이다","보통이다","그렇다","그렇다","보통이다","그렇다","그렇다","매우 그렇지 않다","여","27세~29세","4년재 대학교 졸업","자취","기타","30만원 미만","","10만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:44:13 오후 GMT+9","7~9번","오후 14시~17시","습관적 구매;기타","2000원 이상~3000원 미만","3점","2점","1점","4점","4점","설탕 및 시럽 추가","그렇다","그렇다","그렇다","보통이다","그렇다","보통이다","그렇다","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","보통이다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","여","27세~29세","4년제 대학교 재학","기숙사","학생","50만원 이상~70만원 미만","","30만원 이상~40만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:46:31 오후 GMT+9","7~9번","오전11시~오후 14시","졸음 방지;맛이 좋아서","3000원 이상~4000원 미만","4점","4점","3점","3점","3점","없음","보통이다","그렇다","보통이다","그렇지 않다","보통이다","그렇다","그렇다","보통이다","그렇다","그렇다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","그렇다","그렇다","그렇다","그렇다","그렇다","보통이다","그렇다","그렇다","보통이다","그렇다","그렇다","보통이다","보통이다","그렇지 않다","여","27세~29세","4년재 대학교 졸업","가족과 생활","사무직","","200만원 이상~300만원 미만","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:49:37 오후 GMT+9","4~6번","오후17시~20시","습관적 구매","2000원 미만","4점","3점","4점","4점","3점","얼음 추가","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","그렇다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","남","23세~26세","4년제 대학교 재학","가족과 생활","사무직","","200만원 이상~300만원 미만","30만원 이상~40만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:49:40 오후 GMT+9","1~3번","오후 20시 이후","졸음 방지","2000원 미만","3점","5점","1점","4점","3점","없음","매우 그렇다","매우 그렇다","그렇다","그렇다","그렇다","매우 그렇다","그렇다","그렇지 않다","보통이다","매우 그렇지 않다","보통이다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","그렇다","보통이다","그렇지 않다","그렇다","매우 그렇다","매우 그렇다","그렇다","그렇다","그렇다","보통이다","그렇지 않다","그렇지 않다","매우 그렇지 않다","남","23세~26세","4년제 대학교 재학","자취","학생","30만원 미만","","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:50:40 오후 GMT+9","4~6번","오전 8시~11시","습관적 구매;졸음 방지","2000원 미만","5점","5점","1점","4점","2점","없음","보통이다","그렇다","매우 그렇다","매우 그렇다","보통이다","그렇다","그렇지 않다","그렇지 않다","그렇다","그렇다","매우 그렇지 않다","그렇지 않다","보통이다","매우 그렇지 않다","매우 그렇다","보통이다","매우 그렇지 않다","매우 그렇다","보통이다","보통이다","그렇다","그렇다","보통이다","그렇지 않다","그렇다","보통이다","보통이다","매우 그렇지 않다","남","27세~29세","4년재 대학교 졸업","자취","기타","110만원 이상","","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:52:16 오후 GMT+9","4~6번","오전11시~오후 14시","졸음 방지","2000원 이상~3000원 미만","5점","4점","3점","3점","4점","샷 추가","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇다","보통이다","그렇지 않다","보통이다","보통이다","그렇다","그렇다","보통이다","보통이다","그렇다","보통이다","그렇다","보통이다","보통이다","그렇다","보통이다","보통이다","보통이다","그렇지 않다","여","27세~29세","4년재 대학교 졸업","가족과 생활","사무직","","200만원 이상~300만원 미만","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:52:24 오후 GMT+9","7~9번","오전11시~오후 14시","습관적 구매;맛이 좋아서","2000원 미만","5점","5점","1점","4점","2점","없음","그렇다","그렇다","그렇다","그렇다","보통이다","그렇다","그렇다","보통이다","매우 그렇지 않다","매우 그렇지 않다","그렇다","매우 그렇지 않다","그렇지 않다","매우 그렇지 않다","그렇다","보통이다","그렇지 않다","보통이다","매우 그렇다","그렇다","그렇다","매우 그렇다","그렇지 않다","보통이다","매우 그렇지 않다","그렇지 않다","그렇다","그렇지 않다","여","27세~29세","4년재 대학교 졸업","가족과 생활","기타","110만원 이상","","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 2:57:54 오후 GMT+9","1~3번","오전 8시~11시","졸음 방지","2000원 이상~3000원 미만","5점","4점","1점","4점","3점","설탕 및 시럽 추가","보통이다","매우 그렇다","매우 그렇다","매우 그렇다","그렇지 않다","그렇다","그렇다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","그렇다","그렇다","보통이다","그렇지 않다","그렇다","그렇다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","그렇다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","남","20세~22세","4년제 대학교 재학","가족과 생활","학생","50만원 이상~70만원 미만","","30만원 이상~40만원 미만","","","","","","","","","","","","",""
"2018/06/01 3:07:24 오후 GMT+9","4~6번","오전11시~오후 14시;오후 14시~17시","졸음 방지;맛이 좋아서","2000원 이상~3000원 미만","5점","4점","2점","5점","5점","설탕 및 시럽 추가;샷 추가","그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","그렇다","그렇다","보통이다","그렇다","보통이다","매우 그렇다","보통이다","매우 그렇지 않다","그렇다","매우 그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","그렇다","그렇다","보통이다","보통이다","보통이다","그렇지 않다","그렇지 않다","여","23세~26세","4년제 대학교 재학","가족과 생활","학생","50만원 이상~70만원 미만","","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 3:09:49 오후 GMT+9","4~6번","오전11시~오후 14시","친구들과의 만남;졸음 방지;맛이 좋아서","2000원 이상~3000원 미만","4점","4점","2점","5점","3점","없음","보통이다","보통이다","그렇다","보통이다","그렇지 않다","그렇지 않다","매우 그렇지 않다","그렇지 않다","그렇지 않다","그렇지 않다","그렇다","보통이다","보통이다","보통이다","그렇다","보통이다","그렇다","그렇다","그렇다","보통이다","그렇다","그렇다","보통이다","보통이다","매우 그렇지 않다","보통이다","보통이다","매우 그렇지 않다","남","23세~26세","4년제 대학교 재학","자취","학생","110만원 이상","","50만원 이상","","","","","","","","","","","","",""
"2018/06/01 3:11:43 오후 GMT+9","1~3번","오전 8시~11시","기타","2000원 미만","5점","4점","1점","5점","3점","없음","보통이다","그렇다","매우 그렇다","그렇다","보통이다","보통이다","보통이다","보통이다","그렇다","보통이다","그렇지 않다","그렇지 않다","매우 그렇지 않다","그렇지 않다","그렇다","보통이다","그렇다","그렇다","보통이다","그렇다","그렇다","보통이다","그렇지 않다","그렇다","그렇다","그렇지 않다","그렇지 않다","매우 그렇지 않다","여","20세~22세","4년제 대학교 재학","가족과 생활","학생","30만원 미만","","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 3:32:38 오후 GMT+9","4~6번","오후 14시~17시","기타","3000원 이상~4000원 미만","5점","5점","3점","4점","4점","없음","그렇다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","그렇다","그렇지 않다","그렇지 않다","그렇다","그렇다","매우 그렇지 않다","보통이다","매우 그렇다","그렇다","매우 그렇다","그렇다","매우 그렇다","그렇다","그렇지 않다","그렇다","그렇다","그렇다","남","23세~26세","고등학교 졸업","자취","학생","50만원 이상~70만원 미만","","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 3:34:52 오후 GMT+9","1~3번","오후17시~20시","친구들과의 만남","3000원 이상~4000원 미만","4점","2점","2점","4점","2점","없음","매우 그렇지 않다","그렇다","그렇다","그렇다","그렇지 않다","그렇지 않다","그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","그렇지 않다","그렇다","그렇지 않다","그렇다","그렇다","보통이다","보통이다","그렇다","보통이다","보통이다","보통이다","그렇지 않다","매우 그렇지 않다","보통이다","그렇다","그렇지 않다","그렇지 않다","그렇다","보통이다","여","23세~26세","4년재 대학교 졸업","가족과 생활","사무직","","200만원 이상~300만원 미만","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 3:50:55 오후 GMT+9","7~9번","오전11시~오후 14시","졸음 방지","2000원 미만","1점","5점","1점","1점","1점","없음","보통이다","그렇다","그렇다","매우 그렇다","매우 그렇다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","그렇다","매우 그렇지 않다","그렇다","보통이다","그렇다","그렇다","보통이다","보통이다","매우 그렇다","매우 그렇다","그렇다","그렇다","보통이다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","남","27세~29세","4년제 대학교 재학","가족과 생활","학생","70만원 이상~90만원 미만","","40만원 이상~50만원 미만","","","","","","","","","","","","",""
"2018/06/01 4:03:15 오후 GMT+9","13번 이상","오후 14시~17시","친구들과의 만남","2000원 이상~3000원 미만","4점","4점","4점","4점","4점","없음","그렇지 않다","그렇다","그렇지 않다","그렇다","그렇다","그렇다","그렇다","그렇지 않다","그렇다","그렇지 않다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇지 않다","그렇지 않다","그렇지 않다","여","27세~29세","4년재 대학교 졸업","자취","사무직","","200만원 이상~300만원 미만","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 4:06:37 오후 GMT+9","1~3번","오후 14시~17시;오후17시~20시","친구들과의 만남","2000원 이상~3000원 미만","3점","4점","3점","4점","1점","없음","그렇다","보통이다","그렇다","그렇지 않다","그렇지 않다","그렇다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","매우 그렇지 않다","그렇지 않다","보통이다","그렇다","그렇지 않다","그렇다","보통이다","그렇지 않다","그렇다","보통이다","그렇지 않다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","매우 그렇지 않다","남","27세~29세","4년제 대학교 재학","자취","학생","30만원 미만","","20만원 이상~30만원 미만","","","","","","","","","","","","",""
"2018/06/01 4:57:28 오후 GMT+9","4~6번","오전 8시  이전;오전 8시~11시","졸음 방지","2000원 미만","3점","5점","3점","4점","4점","없음","그렇지 않다","보통이다","그렇다","보통이다","매우 그렇다","그렇다","그렇다","보통이다","그렇지 않다","보통이다","그렇지 않다","보통이다","그렇지 않다","그렇지 않다","보통이다","보통이다","그렇다","그렇다","보통이다","그렇지 않다","그렇지 않다","보통이다","매우 그렇지 않다","그렇다","그렇다","보통이다","그렇다","그렇지 않다","여","23세~26세","4년재 대학교 졸업","가족과 생활","기타","110만원 이상","","10만원 이상~20만원 미만","","","","","","","","","","","","",""
"2018/06/01 5:13:28 오후 GMT+9","1~3번","오후17시~20시","기타","2000원 미만","3점","5점","1점","4점","2점","없음","보통이다","그렇다","매우 그렇다","그렇다","보통이다","그렇다","그렇다","그렇지 않다","매우 그렇다","그렇다","보통이다","매우 그렇다","매우 그렇지 않다","보통이다","그렇다","보통이다","그렇지 않다","매우 그렇다","그렇다","매우 그렇다","그렇다","그렇다","보통이다","그렇다","보통이다","그렇지 않다","보통이다","그렇지 않다","남","27세~29세","4년재 대학교 졸업","가족과 생활","사무직","","300만원 이상~400만원 미만","50만원 이상","","","","","","","","","","","","",""
